lowercase_symbol,jetton_master
usdt,EQCxE6mUtQJKFnGfaROTKOt1lZbDiiX1kCixRv7Nw2Id_sDs
train,EQBZn0aFa466gyVsN8bZdqTnMGnWnQwuZmpYPjKLYK_TRAIN
utya,EQBaCgUwOoc6gHCNln_oJzb0mVs79YG7wYoavh-o1ItaneLA
ston,EQA2kCVNwVsil2EM2mB0SkXytxCqQjS4mttjDpnXmwG9T6bO
redo,EQBZ_cafPyDr5KUTs0aNxh0ZTDhkpEZONmLJA2SNGlLm4Cko
storm,EQBsosmcZrD6FHijA7qWGLw5wo_aH8UN435hi935jJ_STORM
tston,EQC98_qAmNEptUtPc7W6xdHh_ZHrBUFpw5Ft_IzNU20QAJav
frt,EQA1EIDrR33zgL21rwDIfGo7j4ETWieentUvg7jIT-3aP5GG
major,EQCuPm01HldiduQ55xaBF_1kaW_WAUy5DHey8suqzU_MAJOR
not,EQAvlWFDxGF2lXm67y4yzC17wYKD9A0guwPkMs1gOsM__NOT
gemston,EQBX6K9aXVl3nXINCyPPL86C4ONVmQ8vK360u6dykFKXpHCa

